Date,Rate,Country
1/2/2017,100,Cambodia
1/2/2017,100,Lao PDR
1/2/2017,100,Myanmar
1/2/2017,100,Vietnam
1/2/2017,100,Thailand
1/3/2017,99.93,Cambodia
1/3/2017,99.91,Lao PDR
1/3/2017,99.67,Myanmar
1/3/2017,99.8,Vietnam
1/3/2017,100.31,Thailand
1/4/2017,100.16,Cambodia
1/4/2017,100,Lao PDR
1/4/2017,99.13,Myanmar
1/4/2017,99.71,Vietnam
1/4/2017,100,Thailand
1/5/2017,100.27,Cambodia
1/5/2017,100.01,Lao PDR
1/5/2017,99.45,Myanmar
1/5/2017,99.5,Vietnam
1/5/2017,99.61,Thailand
1/6/2017,100.08,Cambodia
1/6/2017,100,Lao PDR
1/6/2017,99.34,Myanmar
1/6/2017,98.99,Vietnam
1/6/2017,99.78,Thailand
1/9/2017,100.14,Cambodia
1/9/2017,100.07,Lao PDR
1/9/2017,99.71,Myanmar
1/9/2017,99.08,Vietnam
1/9/2017,99.53,Thailand
1/10/2017,100.05,Cambodia
1/10/2017,100.07,Lao PDR
1/10/2017,99.78,Myanmar
1/10/2017,99.03,Vietnam
1/10/2017,99.27,Thailand
1/11/2017,100.38,Cambodia
1/11/2017,100.07,Lao PDR
1/11/2017,99.96,Myanmar
1/11/2017,99.03,Vietnam
1/11/2017,98.97,Thailand
1/12/2017,99.87,Cambodia
1/12/2017,100.16,Lao PDR
1/12/2017,100.33,Myanmar
1/12/2017,99.03,Vietnam
1/12/2017,98.74,Thailand
1/13/2017,99.83,Cambodia
1/13/2017,100.16,Lao PDR
1/13/2017,100.07,Myanmar
1/13/2017,99.02,Vietnam
1/13/2017,98.91,Thailand
1/16/2017,99.83,Cambodia
1/16/2017,100.16,Lao PDR
1/16/2017,99.52,Myanmar
1/16/2017,99.03,Vietnam
1/16/2017,98.91,Thailand
1/17/2017,100.05,Cambodia
1/17/2017,100.07,Lao PDR
1/17/2017,99.67,Myanmar
1/17/2017,99.03,Vietnam
1/17/2017,98.49,Thailand
1/18/2017,99.96,Cambodia
1/18/2017,99.96,Lao PDR
1/18/2017,100,Myanmar
1/18/2017,99.03,Vietnam
1/18/2017,98.91,Thailand
1/19/2017,99.81,Cambodia
1/19/2017,100.16,Lao PDR
1/19/2017,100.18,Myanmar
1/19/2017,99,Vietnam
1/19/2017,98.77,Thailand
1/20/2017,99.71,Cambodia
1/20/2017,100.18,Lao PDR
1/20/2017,99.52,Myanmar
1/20/2017,99.03,Vietnam
1/20/2017,98.84,Thailand
1/23/2017,99.81,Cambodia
1/23/2017,100.06,Lao PDR
1/23/2017,99.93,Myanmar
1/23/2017,98.94,Vietnam
1/23/2017,98.41,Thailand
1/24/2017,100.14,Cambodia
1/24/2017,100.06,Lao PDR
1/24/2017,99.93,Myanmar
1/24/2017,99.04,Vietnam
1/24/2017,98.38,Thailand
1/25/2017,100.1,Cambodia
1/25/2017,100.08,Lao PDR
1/25/2017,99.78,Myanmar
1/25/2017,99.12,Vietnam
1/25/2017,98.32,Thailand
1/26/2017,99.88,Cambodia
1/26/2017,100.08,Lao PDR
1/26/2017,100.29,Myanmar
1/26/2017,99.6,Vietnam
1/26/2017,98.6,Thailand
1/27/2017,99.68,Cambodia
1/27/2017,100.05,Lao PDR
1/27/2017,100.33,Myanmar
1/27/2017,99.12,Vietnam
1/27/2017,98.48,Thailand
1/30/2017,100.35,Cambodia
1/30/2017,100.1,Lao PDR
1/30/2017,99.3,Myanmar
1/30/2017,98.77,Vietnam
1/30/2017,98.32,Thailand
1/31/2017,99.68,Cambodia
1/31/2017,100.06,Lao PDR
1/31/2017,99.63,Myanmar
1/31/2017,98.73,Vietnam
1/31/2017,97.96,Thailand
2/1/2017,99.83,Cambodia
2/1/2017,99.98,Lao PDR
2/1/2017,100.04,Myanmar
2/1/2017,99.46,Vietnam
2/1/2017,98.02,Thailand
2/2/2017,99.81,Cambodia
2/2/2017,99.99,Lao PDR
2/2/2017,99.82,Myanmar
2/2/2017,99.34,Vietnam
2/2/2017,97.88,Thailand
2/3/2017,99.71,Cambodia
2/3/2017,99.99,Lao PDR
2/3/2017,100.55,Myanmar
2/3/2017,99.26,Vietnam
2/3/2017,97.77,Thailand
2/6/2017,99.81,Cambodia
2/6/2017,100.04,Lao PDR
2/6/2017,100.55,Myanmar
2/6/2017,99.11,Vietnam
2/6/2017,97.71,Thailand
2/7/2017,99.73,Cambodia
2/7/2017,99.99,Lao PDR
2/7/2017,100.59,Myanmar
2/7/2017,99.2,Vietnam
2/7/2017,97.79,Thailand
2/8/2017,100.18,Cambodia
2/8/2017,100.03,Lao PDR
2/8/2017,100.74,Myanmar
2/8/2017,99.39,Vietnam
2/8/2017,97.77,Thailand
2/9/2017,99.56,Cambodia
2/9/2017,100.04,Lao PDR
2/9/2017,101.03,Myanmar
2/9/2017,99.46,Vietnam
2/9/2017,97.96,Thailand
2/10/2017,100.42,Cambodia
2/10/2017,99.99,Lao PDR
2/10/2017,101.25,Myanmar
2/10/2017,99.35,Vietnam
2/10/2017,97.88,Thailand
2/13/2017,99.72,Cambodia
2/13/2017,100.04,Lao PDR
2/13/2017,101.14,Myanmar
2/13/2017,99.48,Vietnam
2/13/2017,97.93,Thailand
2/14/2017,99.65,Cambodia
2/14/2017,100.06,Lao PDR
2/14/2017,100.75,Myanmar
2/14/2017,99.79,Vietnam
2/14/2017,97.77,Thailand
2/15/2017,99.51,Cambodia
2/15/2017,100.12,Lao PDR
2/15/2017,99.96,Myanmar
2/15/2017,99.94,Vietnam
2/15/2017,97.79,Thailand
2/16/2017,98.97,Cambodia
2/16/2017,100.1,Lao PDR
2/16/2017,100.37,Myanmar
2/16/2017,99.87,Vietnam
2/16/2017,97.68,Thailand
2/17/2017,98.97,Cambodia
2/17/2017,100.1,Lao PDR
2/17/2017,100.74,Myanmar
2/17/2017,100.01,Vietnam
2/17/2017,97.7,Thailand
2/20/2017,99.56,Cambodia
2/20/2017,100.08,Lao PDR
2/20/2017,100.4,Myanmar
2/20/2017,100.1,Vietnam
2/20/2017,97.77,Thailand
2/21/2017,99.54,Cambodia
2/21/2017,100.07,Lao PDR
2/21/2017,100.88,Myanmar
2/21/2017,100.17,Vietnam
2/21/2017,97.77,Thailand
2/22/2017,99.45,Cambodia
2/22/2017,100.13,Lao PDR
2/22/2017,100.92,Myanmar
2/22/2017,100.17,Vietnam
2/22/2017,97.77,Thailand
2/23/2017,99.45,Cambodia
2/23/2017,100.13,Lao PDR
2/23/2017,100.88,Myanmar
2/23/2017,100.16,Vietnam
2/23/2017,97.63,Thailand
2/24/2017,98.84,Cambodia
2/24/2017,100.11,Lao PDR
2/24/2017,100.74,Myanmar
2/24/2017,100.1,Vietnam
2/24/2017,97.36,Thailand
2/27/2017,98.82,Cambodia
2/27/2017,100.11,Lao PDR
2/27/2017,100.74,Myanmar
2/27/2017,99.95,Vietnam
2/27/2017,97.26,Thailand
2/28/2017,99.44,Cambodia
2/28/2017,100.13,Lao PDR
2/28/2017,100.55,Myanmar
2/28/2017,99.83,Vietnam
2/28/2017,97.54,Thailand
3/1/2017,98.84,Cambodia
3/1/2017,100.13,Lao PDR
3/1/2017,99.93,Myanmar
3/1/2017,100.03,Vietnam
3/1/2017,97.68,Thailand
3/2/2017,99.45,Cambodia
3/2/2017,100.13,Lao PDR
3/2/2017,100.08,Myanmar
3/2/2017,100.12,Vietnam
3/2/2017,97.85,Thailand
3/3/2017,99.45,Cambodia
3/3/2017,100.13,Lao PDR
3/3/2017,100.18,Myanmar
3/3/2017,100.22,Vietnam
3/3/2017,97.79,Thailand
3/6/2017,99.41,Cambodia
3/6/2017,100.13,Lao PDR
3/6/2017,99.85,Myanmar
3/6/2017,100.05,Vietnam
3/6/2017,97.93,Thailand
3/7/2017,99.42,Cambodia
3/7/2017,100.14,Lao PDR
3/7/2017,99.82,Myanmar
3/7/2017,100.05,Vietnam
3/7/2017,98.05,Thailand
3/8/2017,99.3,Cambodia
3/8/2017,100.16,Lao PDR
3/8/2017,100.18,Myanmar
3/8/2017,100.03,Vietnam
3/8/2017,98.58,Thailand
3/9/2017,99.26,Cambodia
3/9/2017,100.18,Lao PDR
3/9/2017,100.96,Myanmar
3/9/2017,100.04,Vietnam
3/9/2017,98.77,Thailand
3/10/2017,99.14,Cambodia
3/10/2017,100.18,Lao PDR
3/10/2017,101.1,Myanmar
3/10/2017,100.03,Vietnam
3/10/2017,98.6,Thailand
3/13/2017,99.27,Cambodia
3/13/2017,100.16,Lao PDR
3/13/2017,100.77,Myanmar
3/13/2017,100.05,Vietnam
3/13/2017,98.52,Thailand
3/14/2017,99.23,Cambodia
3/14/2017,100.1,Lao PDR
3/14/2017,101.07,Myanmar
3/14/2017,100.05,Vietnam
3/14/2017,98.58,Thailand
3/15/2017,99.22,Cambodia
3/15/2017,100.14,Lao PDR
3/15/2017,101.18,Myanmar
3/15/2017,100.15,Vietnam
3/15/2017,97.91,Thailand
3/16/2017,99.14,Cambodia
3/16/2017,100.13,Lao PDR
3/16/2017,100.26,Myanmar
3/16/2017,99.94,Vietnam
3/16/2017,97.49,Thailand
3/17/2017,98.56,Cambodia
3/17/2017,100.1,Lao PDR
3/17/2017,100.85,Myanmar
3/17/2017,99.96,Vietnam
3/17/2017,97.26,Thailand
3/20/2017,99.32,Cambodia
3/20/2017,100.14,Lao PDR
3/20/2017,100.96,Myanmar
3/20/2017,100,Vietnam
3/20/2017,96.76,Thailand
3/21/2017,98.62,Cambodia
3/21/2017,100.1,Lao PDR
3/21/2017,100.92,Myanmar
3/21/2017,99.95,Vietnam
3/21/2017,96.96,Thailand
3/22/2017,99.33,Cambodia
3/22/2017,100.11,Lao PDR
3/22/2017,100.88,Myanmar
3/22/2017,99.92,Vietnam
3/22/2017,96.43,Thailand
3/23/2017,99.3,Cambodia
3/23/2017,100.13,Lao PDR
3/23/2017,100.85,Myanmar
3/23/2017,100.01,Vietnam
3/23/2017,96.57,Thailand
3/24/2017,98.73,Cambodia
3/24/2017,100.07,Lao PDR
3/24/2017,100.74,Myanmar
3/24/2017,99.98,Vietnam
3/24/2017,96.51,Thailand
3/27/2017,99.26,Cambodia
3/27/2017,100.14,Lao PDR
3/27/2017,100.75,Myanmar
3/27/2017,99.92,Vietnam
3/27/2017,95.97,Thailand
3/28/2017,99.18,Cambodia
3/28/2017,100.14,Lao PDR
3/28/2017,100.7,Myanmar
3/28/2017,99.92,Vietnam
3/28/2017,96.18,Thailand
3/29/2017,99.18,Cambodia
3/29/2017,100.17,Lao PDR
3/29/2017,100.48,Myanmar
3/29/2017,99.92,Vietnam
3/29/2017,96.08,Thailand
3/30/2017,99.3,Cambodia
3/30/2017,100.22,Lao PDR
3/30/2017,99.93,Myanmar
3/30/2017,99.9,Vietnam
3/30/2017,96.18,Thailand
3/31/2017,99.59,Cambodia
3/31/2017,100.17,Lao PDR
3/31/2017,100.18,Myanmar
3/31/2017,99.83,Vietnam
3/31/2017,95.9,Thailand
4/3/2017,99.51,Cambodia
4/3/2017,100.17,Lao PDR
4/3/2017,99.85,Myanmar
4/3/2017,99.75,Vietnam
4/3/2017,95.95,Thailand
4/4/2017,99.38,Cambodia
4/4/2017,100.17,Lao PDR
4/4/2017,99.67,Myanmar
4/4/2017,99.57,Vietnam
4/4/2017,96.2,Thailand
4/5/2017,99.09,Cambodia
4/5/2017,100.1,Lao PDR
4/5/2017,99.93,Myanmar
4/5/2017,99.55,Vietnam
4/5/2017,96.43,Thailand
4/6/2017,99.38,Cambodia
4/6/2017,100.18,Lao PDR
4/6/2017,100.15,Myanmar
4/6/2017,99.55,Vietnam
4/6/2017,96.54,Thailand
4/7/2017,99.09,Cambodia
4/7/2017,100.2,Lao PDR
4/7/2017,100.07,Myanmar
4/7/2017,99.5,Vietnam
4/7/2017,96.62,Thailand
4/10/2017,99.8,Cambodia
4/10/2017,100.26,Lao PDR
4/10/2017,100.07,Myanmar
4/10/2017,99.53,Vietnam
4/10/2017,96.65,Thailand
4/11/2017,99.75,Cambodia
4/11/2017,100.19,Lao PDR
4/11/2017,99.85,Myanmar
4/11/2017,99.39,Vietnam
4/11/2017,96.45,Thailand
4/12/2017,99.76,Cambodia
4/12/2017,100.25,Lao PDR
4/12/2017,100,Myanmar
4/12/2017,99.47,Vietnam
4/12/2017,96.04,Thailand
4/13/2017,99.72,Cambodia
4/13/2017,100.25,Lao PDR
4/13/2017,100,Myanmar
4/13/2017,99.5,Vietnam
4/13/2017,95.95,Thailand
4/14/2017,98.82,Cambodia
4/14/2017,100.1,Lao PDR
4/14/2017,100.22,Myanmar
4/14/2017,99.98,Vietnam
4/14/2017,95.9,Thailand
4/17/2017,99.68,Cambodia
4/17/2017,100.26,Lao PDR
4/17/2017,99.93,Myanmar
4/17/2017,99.7,Vietnam
4/17/2017,95.73,Thailand
4/18/2017,99.65,Cambodia
4/18/2017,100.24,Lao PDR
4/18/2017,100,Myanmar
4/18/2017,99.66,Vietnam
4/18/2017,95.84,Thailand
4/19/2017,99.61,Cambodia
4/19/2017,100.24,Lao PDR
4/19/2017,99.52,Myanmar
4/19/2017,99.76,Vietnam
4/19/2017,96.04,Thailand
4/20/2017,99.95,Cambodia
4/20/2017,100.22,Lao PDR
4/20/2017,99.6,Myanmar
4/20/2017,99.72,Vietnam
4/20/2017,96.01,Thailand
4/21/2017,98.84,Cambodia
4/21/2017,100.24,Lao PDR
4/21/2017,99.56,Myanmar
4/21/2017,99.69,Vietnam
4/21/2017,95.92,Thailand
4/24/2017,99.87,Cambodia
4/24/2017,100.2,Lao PDR
4/24/2017,99.41,Myanmar
4/24/2017,99.68,Vietnam
4/24/2017,95.92,Thailand
4/25/2017,99.46,Cambodia
4/25/2017,100.23,Lao PDR
4/25/2017,99.74,Myanmar
4/25/2017,99.88,Vietnam
4/25/2017,96.15,Thailand
4/26/2017,99.31,Cambodia
4/26/2017,100.1,Lao PDR
4/26/2017,100.59,Myanmar
4/26/2017,99.77,Vietnam
4/26/2017,96.26,Thailand
4/27/2017,99.56,Cambodia
4/27/2017,100.1,Lao PDR
4/27/2017,100.33,Myanmar
4/27/2017,99.73,Vietnam
4/27/2017,96.59,Thailand
4/28/2017,99.8,Cambodia
4/28/2017,100.22,Lao PDR
4/28/2017,100.18,Myanmar
4/28/2017,99.78,Vietnam
4/28/2017,96.57,Thailand
5/1/2017,99.56,Cambodia
5/1/2017,100.11,Lao PDR
5/1/2017,100.52,Myanmar
5/1/2017,99.81,Vietnam
5/1/2017,96.59,Thailand
5/2/2017,99.83,Cambodia
5/2/2017,100.11,Lao PDR
5/2/2017,99.23,Myanmar
5/2/2017,99.71,Vietnam
5/2/2017,96.23,Thailand
5/3/2017,100.24,Cambodia
5/3/2017,100.2,Lao PDR
5/3/2017,99.89,Myanmar
5/3/2017,99.78,Vietnam
5/3/2017,96.45,Thailand
5/4/2017,99.81,Cambodia
5/4/2017,100.1,Lao PDR
5/4/2017,99.45,Myanmar
5/4/2017,99.81,Vietnam
5/4/2017,96.68,Thailand
5/5/2017,99.81,Cambodia
5/5/2017,100.11,Lao PDR
5/5/2017,100.26,Myanmar
5/5/2017,99.73,Vietnam
5/5/2017,96.79,Thailand
5/8/2017,99.83,Cambodia
5/8/2017,100.1,Lao PDR
5/8/2017,100.04,Myanmar
5/8/2017,99.72,Vietnam
5/8/2017,96.73,Thailand
5/9/2017,100.11,Cambodia
5/9/2017,100.16,Lao PDR
5/9/2017,100.81,Myanmar
5/9/2017,99.73,Vietnam
5/9/2017,97.11,Thailand
5/10/2017,100.03,Cambodia
5/10/2017,100.11,Lao PDR
5/10/2017,100.82,Myanmar
5/10/2017,99.77,Vietnam
5/10/2017,97.07,Thailand
5/11/2017,99.83,Cambodia
5/11/2017,100.1,Lao PDR
5/11/2017,99.78,Myanmar
5/11/2017,99.7,Vietnam
5/11/2017,96.9,Thailand
5/12/2017,99.81,Cambodia
5/12/2017,100.1,Lao PDR
5/12/2017,99.78,Myanmar
5/12/2017,99.55,Vietnam
5/12/2017,96.76,Thailand
5/15/2017,99.68,Cambodia
5/15/2017,100.11,Lao PDR
5/15/2017,99.71,Myanmar
5/15/2017,99.51,Vietnam
5/15/2017,96.45,Thailand
5/16/2017,99.98,Cambodia
5/16/2017,100.18,Lao PDR
5/16/2017,100.88,Myanmar
5/16/2017,99.37,Vietnam
5/16/2017,96.23,Thailand
5/17/2017,100.07,Cambodia
5/17/2017,100.11,Lao PDR
5/17/2017,100.15,Myanmar
5/17/2017,99.48,Vietnam
5/17/2017,96.26,Thailand
5/18/2017,100.46,Cambodia
5/18/2017,100.17,Lao PDR
5/18/2017,101.07,Myanmar
5/18/2017,99.59,Vietnam
5/18/2017,96.37,Thailand
5/19/2017,100.08,Cambodia
5/19/2017,100.2,Lao PDR
5/19/2017,100.85,Myanmar
5/19/2017,99.37,Vietnam
5/19/2017,95.84,Thailand
5/22/2017,100.3,Cambodia
5/22/2017,100.08,Lao PDR
5/22/2017,100.81,Myanmar
5/22/2017,99.65,Vietnam
5/22/2017,95.78,Thailand
5/23/2017,100.22,Cambodia
5/23/2017,100.18,Lao PDR
5/23/2017,100.77,Myanmar
5/23/2017,99.59,Vietnam
5/23/2017,96.15,Thailand
5/24/2017,100.18,Cambodia
5/24/2017,100.2,Lao PDR
5/24/2017,100.85,Myanmar
5/24/2017,99.43,Vietnam
5/24/2017,95.87,Thailand
5/25/2017,100.65,Cambodia
5/25/2017,100.09,Lao PDR
5/25/2017,100.92,Myanmar
5/25/2017,99.48,Vietnam
5/25/2017,95.31,Thailand
5/26/2017,99.71,Cambodia
5/26/2017,100.1,Lao PDR
5/26/2017,100.11,Myanmar
5/26/2017,99.7,Vietnam
5/26/2017,95.06,Thailand
5/29/2017,100.59,Cambodia
5/29/2017,100.23,Lao PDR
5/29/2017,100.51,Myanmar
5/29/2017,99.77,Vietnam
5/29/2017,95.23,Thailand
5/30/2017,100.78,Cambodia
5/30/2017,100.14,Lao PDR
5/30/2017,100.66,Myanmar
5/30/2017,99.7,Vietnam
5/30/2017,95.27,Thailand
5/31/2017,100.73,Cambodia
5/31/2017,100.15,Lao PDR
5/31/2017,100.85,Myanmar
5/31/2017,99.66,Vietnam
5/31/2017,95.03,Thailand
6/1/2017,100.59,Cambodia
6/1/2017,100.15,Lao PDR
6/1/2017,100.33,Myanmar
6/1/2017,99.64,Vietnam
6/1/2017,95.34,Thailand
6/2/2017,100.61,Cambodia
6/2/2017,100.23,Lao PDR
6/2/2017,100.18,Myanmar
6/2/2017,99.66,Vietnam
6/2/2017,95.04,Thailand
6/5/2017,100.63,Cambodia
6/5/2017,100.15,Lao PDR
6/5/2017,99.71,Myanmar
6/5/2017,99.66,Vietnam
6/5/2017,94.95,Thailand
6/6/2017,100.45,Cambodia
6/6/2017,100.16,Lao PDR
6/6/2017,99.85,Myanmar
6/6/2017,99.7,Vietnam
6/6/2017,94.78,Thailand
6/7/2017,100.85,Cambodia
6/7/2017,100.2,Lao PDR
6/7/2017,100,Myanmar
6/7/2017,99.7,Vietnam
6/7/2017,95,Thailand
6/8/2017,101.29,Cambodia
6/8/2017,100.27,Lao PDR
6/8/2017,99.34,Myanmar
6/8/2017,99.55,Vietnam
6/8/2017,95.14,Thailand
6/9/2017,100.42,Cambodia
6/9/2017,100.14,Lao PDR
6/9/2017,99.71,Myanmar
6/9/2017,99.54,Vietnam
6/9/2017,95.1,Thailand
6/12/2017,101.01,Cambodia
6/12/2017,100.36,Lao PDR
6/12/2017,100.11,Myanmar
6/12/2017,99.56,Vietnam
6/12/2017,95.06,Thailand
6/13/2017,100.91,Cambodia
6/13/2017,100.5,Lao PDR
6/13/2017,100.51,Myanmar
6/13/2017,99.56,Vietnam
6/13/2017,94.68,Thailand
6/14/2017,101.03,Cambodia
6/14/2017,100.49,Lao PDR
6/14/2017,100.48,Myanmar
6/14/2017,99.61,Vietnam
6/14/2017,94.67,Thailand
6/15/2017,101.03,Cambodia
6/15/2017,100.53,Lao PDR
6/15/2017,99.85,Myanmar
6/15/2017,99.55,Vietnam
